CVE_AGENTE,RAMO,RECIBO,POLIZA,SERIE,PRIMA_AL_COBRO,PORCENTAJE_COM,IMPORTE_COM,IVA,ISR,IMPUESTO_CEDULAR,RETENCION,IMPORTE_NETO,FECHA_APLICACION
'00000580,0308    ,'11976425F         ,'00000857,0304, 33000, 15%, 4950, 792, 0, 0, 0, 5742,20200728
'00000580,0099    ,'12402138F         ,'00002370,0204, 11957.89, 20%, 2391.57, 0, 0, 0, 0, 2391.57,20200728
'00000580,0212    ,'12406090F         ,'00003146,0204, 166246.63, 18%, 29924.4, 4787.9, 0, 0, 0, 34712.3,20200728
'00000580,0955    ,'12759087F         ,'00004847,0101, 9738.04, 5%, 486.9, 77.81, 0, 0, 0, 564.71,20200728
'00000580,0212    ,'12791099F         ,'00003146,0104, 78.46, 18%, 14.12, 2.26, 0, 0, 0, 16.38,20200728
'00000580,0212    ,'12791100F         ,'00003146,0204, 892.54, 18%, 160.66, 25.71, 0, 0, 0, 186.37,20200728
'00000580,0099    ,'12851883F         ,'00002952,0101, 219361.71, 10%, 21936.17, 0, 0, 0, 0, 21936.17,20200728
'00000580,0099    ,'12851885F         ,'00002953,0101, 248689.76, 10%, 24868.98, 0, 0, 0, 0, 24868.98,20200728
'00000580,0099    ,'12851886F         ,'00002954,0101, 34148.32, 10%, 3414.84, 0, 0, 0, 0, 3414.84,20200728
'00000580,0099    ,'12852212F         ,'00002949,0101, 154566.56, 10%, 15456.66, 0, 0, 0, 0, 15456.66,20200728
'00000580,0099    ,'12853321F         ,'00002951,0101, 553954.77, 10%, 55395.48, 0, 0, 0, 0, 55395.48,20200728
'00000580,0955    ,'12856738F         ,'00004884,0101, 209076.35, 10%, 20907.64, 3345.06, 0, 0, 0, 24252.7,20200728
