CVE_AGENTE,RAMO,RECIBO,POLIZA,SERIE,PRIMA_AL_COBRO,PORCENTAJE_COM,IMPORTE_COM,IVA,ISR,IMPUESTO_CEDULAR,RETENCION,IMPORTE_NETO,FECHA_APLICACION
'00002467,0189    ,'010620200707014411,'3406    ,0000, 0, 0%, 433.79, 0, 0, 0, 0, 433.79,20200714
'00002467,0189    ,'010620200707014411,'3509    ,0000, 0, 0%, 213.12, 0, 0, 0, 0, 213.12,20200714
'00002467,0196    ,'010620200710101718,'94264   ,0000, 0, 0%, 27, 0, 0, 0, 0, 27,20200714
'00002467,0196    ,'010620200710101718,'94264   ,0000, 0, 0%,-27, 0, 0, 0, 0,-27,20200714
'00002467,0196    ,'010620200710101720,'94265   ,0000, 0, 0%,-27, 0, 0, 0, 0,-27,20200714
'00002467,0196    ,'010620200710101720,'94265   ,0000, 0, 0%, 27, 0, 0, 0, 0, 27,20200714
'00002467,0196    ,'010620200710102329,'109111  ,0000, 0, 0%, 27, 0, 0, 0, 0, 27,20200714
'00002467,0196    ,'010620200710102329,'109111  ,0000, 0, 0%,-27, 0, 0, 0, 0,-27,20200714
'00002467,0194    ,'010620200710121151,'34016   ,0000, 0, 0%, 39.46, 0, 0, 0, 0, 39.46,20200714
'00002467,0194    ,'010620200710121152,'36543   ,0000, 0, 0%, 50.58, 0, 0, 0, 0, 50.58,20200714
'00002467,0192    ,'010620200710121701,'4125    ,0000, 0, 0%, 40, 0, 0, 0, 0, 40,20200714
'00002467,0192    ,'010620200710121752,'4494    ,0000, 0, 0%, 59.48, 0, 0, 0, 0, 59.48,20200714
'00002467,0192    ,'010620200710122310,'5464    ,0000, 0, 0%, 46.02, 0, 0, 0, 0, 46.02,20200714
'00002467,0194    ,'010620200710123813,'63885   ,0000, 0, 0%, 50, 0, 0, 0, 0, 50,20200714
'00002467,0194    ,'010620200710124354,'66966   ,0000, 0, 0%, 86.24, 0, 0, 0, 0, 86.24,20200714
'00002467,0191    ,'010620200710124740,'1008235 ,0000, 0, 0%, 300, 0, 0, 0, 0, 300,20200714
'00002467,0211    ,'11052395F         ,'00047517,1212, 2008.01, 16.21%, 325.5, 52.08, 0, 0, 0, 377.58,20200714
'00002467,0195    ,'11091900F         ,'00026045,1212, 438.61, 25%, 109.66, 0, 0, 0, 0, 109.66,20200714
'00002467,0911    ,'11190164F         ,'00012273,1112, 290.94, 18%, 52.38, 8.38, 0, 0, 0, 60.76,20200714
'00002467,0197    ,'11196386F         ,'00008543,1112, 167.49, 0%, 0, 0, 0, 0, 0, 0,20200714
