CVE_AGENTE,RAMO,RECIBO,POLIZA,SERIE,PRIMA_AL_COBRO,PORCENTAJE_COM,IMPORTE_COM,IVA,ISR,IMPUESTO_CEDULAR,RETENCION,IMPORTE_NETO,FECHA_APLICACION
'00002467,0191    ,'010620200801013945,'1018532 ,0000, 0, 0%, 59.48, 0, 0, 0, 0, 59.48,20200806
'00002467,0191    ,'010620200801013945,'1029233 ,0000, 0, 0%, 46.02, 0, 0, 0, 0, 46.02,20200806
'00002467,0191    ,'010620200801014430,'1006626 ,0000, 0, 0%, 36.44, 0, 0, 0, 0, 36.44,20200806
'00002467,0191    ,'010620200801014430,'1001316 ,0000, 0, 0%, 25.3, 0, 0, 0, 0, 25.3,20200806
'00002467,0194    ,'010620200801014754,'35924   ,0000, 0, 0%, 39.46, 0, 0, 0, 0, 39.46,20200806
'00002467,0194    ,'010620200801014754,'35795   ,0000, 0, 0%, 39.46, 0, 0, 0, 0, 39.46,20200806
'00002467,0194    ,'010620200801014754,'39940   ,0000, 0, 0%, 50.58, 0, 0, 0, 0, 50.58,20200806
'00002467,0194    ,'010620200801014754,'41433   ,0000, 0, 0%, 25.3, 0, 0, 0, 0, 25.3,20200806
'00002467,0194    ,'010620200801014754,'42832   ,0000, 0, 0%, 126.46, 0, 0, 0, 0, 126.46,20200806
'00002467,0194    ,'010620200801015246,'65897   ,0000, 0, 0%, 46.08, 0, 0, 0, 0, 46.08,20200806
'00002467,0196    ,'010620200801015246,'95456   ,0000, 0, 0%,-27, 0, 0, 0, 0,-27,20200806
'00002467,0196    ,'010620200801015246,'95456   ,0000, 0, 0%, 27, 0, 0, 0, 0, 27,20200806
'00002467,0196    ,'010620200801015246,'99769   ,0000, 0, 0%, 81, 0, 0, 0, 0, 81,20200806
'00002467,0196    ,'010620200801015246,'99769   ,0000, 0, 0%, 5167.8, 0, 0, 0, 0, 5167.8,20200806
'00002467,0192    ,'010620200801020048,'3971    ,0000, 0, 0%, 38.06, 0, 0, 0, 0, 38.06,20200806
'00002467,0192    ,'010620200801020048,'3581    ,0000, 0, 0%, 48.62, 0, 0, 0, 0, 48.62,20200806
'00002467,0192    ,'010620200801020048,'3580    ,0000, 0, 0%, 48.62, 0, 0, 0, 0, 48.62,20200806
'00002467,0192    ,'010620200801020048,'5910    ,0000, 0, 0%, 115.1, 0, 0, 0, 0, 115.1,20200806
'00002467,0192    ,'010620200801020326,'6130    ,0000, 0, 0%, 43.12, 0, 0, 0, 0, 43.12,20200806
'00002467,0197    ,'010620200801020326,'9118    ,0000, 0, 0%, 81, 0, 0, 0, 0, 81,20200806
'00002467,0197    ,'010620200801020326,'9118    ,0000, 0, 0%,-81, 0, 0, 0, 0,-81,20200806
'00002467,0197    ,'11234056F         ,'00007406,1212, 78.9, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0192    ,'11381777F         ,'00003580,1112, 72.51, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0192    ,'11381790F         ,'00003581,1112, 61.47, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0197    ,'11641553F         ,'00008799,0912, 102.32, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0911    ,'11699188F         ,'00009775,0304, 1326.14, 18%, 238.72, 38.2, 0, 0, 0, 276.92,20200806
'00002467,0197    ,'11856535F         ,'00007844,0812, 22.13, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0192    ,'12172157F         ,'00003971,0612, 116.15, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0197    ,'12277595F         ,'00009118,0512, 103, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0192    ,'12335760F         ,'00006130,0512, 45.21, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0192    ,'12335773F         ,'00006131,0512, 84.47, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0197    ,'12490012F         ,'00007024,0412, 25.14, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0192    ,'12662614F         ,'00003279,0312, 34.9, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0211    ,'12706027F         ,'00063948,0101, 64728.93, 20.5%, 13269.43, 2123.11, 0, 0, 0, 15392.54,20200806
'00002467,0191    ,'12942545F         ,'01018532,0101, 2974, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0191    ,'12943051F         ,'01006626,0101, 1822, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0192    ,'12944090F         ,'00006130,0101, 2156, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0197    ,'12944266F         ,'00009118,0101, 3000, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0197    ,'12945907F         ,'00007510,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0197    ,'12945908F         ,'00007510,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0197    ,'12945909F         ,'00007510,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0197    ,'12945910F         ,'00007510,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0197    ,'12945914F         ,'00007511,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0197    ,'12945915F         ,'00007511,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0197    ,'12945916F         ,'00007511,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0197    ,'12945918F         ,'00007511,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0196    ,'12947105F         ,'00083041,0101, 2156, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0191    ,'12948946F         ,'01029233,0101, 2300.99, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0197    ,'12949282F         ,'00007844,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0197    ,'12954628F         ,'00007406,0101, 2701, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0197    ,'12954630F         ,'00007406,0101, 1158, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0191    ,'12958584F         ,'01001316,0101, 1265, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0192    ,'12959045F         ,'00003971,0101, 1903, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0196    ,'12962077F         ,'00070095,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0196    ,'12962078F         ,'00070095,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0192    ,'12965112F         ,'00003580,0101, 2431, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0192    ,'12965113F         ,'00003581,0101, 2431, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0197    ,'12965211F         ,'00007024,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200806
'00002467,0197    ,'12965212F         ,'00007024,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200806
