p1,,,,,,,,,,,,,
3190219484,.1/4,,,,,,,,,,,,
3190203332,.5/12,,,,,,,,,,,,
3190229458,.1/1,,,,,,,,,,,,
3600328,.6/12,,,,,,,,,,,,
3660586,.1/1,,,,,,,,,,,,
3200254853,.1/1,,,,,,,,,,,,
3200252038,.1/1,,,,,,,,,,,,
3689741,.1/2,,,,,,,,,,,,
3190240240,.1/1,,,,,,,,,,,,
3690640,.1/1,,,,,,,,,,,,
3690640,.1/1,"217899 CAN IN 7,32",,,,,,,,,,,
3690640,.1/1,216546 CAN IN 29,,,,,,,,,,,
3690640,.1/1,121678 AL IN 96-97,,,,,,,,,,,
3690640,.1/1,"121078 A.AGE.1-5,8-9",,,,,,,,,,,
3690640,.1/1,"217897 C,C,AGE IN 32",,,,,,,,,,,
3690641,.1/1,,,,,,,,,,,,
3690641,.1/1,121690 AL IN 57-59,,,,,,,,,,,
3690641,.1/1,"PENDIENTE C IN 1,52-",,,,,,,,,,,
3667124,.2/3,,,,,,,,,,,,
3190196999,.3/4,,,,,,,,,,,,
3685679,.1/1,,,,,,,,,,,,
3702565,.2/12,,,,,,,,,,,,
3190207044,.2/4,,,,,,,,,,,,
3717324,.1/4,,,,,,,,,,,,
3190213314,.4/12,,,,,,,,,,,,
3190228481,.1/1,,,,,,,,,,,,
3190230123,.2/12,,,,,,,,,,,,
3190240593,.1/4,,,,,,,,,,,,
3190240796,.1/1,,,,,,,,,,,,
3190240821,.1/12,,,,,,,,,,,,
3190241031,.1/4,,,,,,,,,,,,
3190241071,.1/4,,,,,,,,,,,,
3190242529,.1/4,,,,,,,,,,,,
3190242655,.1/4,,,,,,,,,,,,
3655166,.4/12,,,,,,,,,,,,
3190219842,.1/1,,,,,,,,,,,,
3190229231,.1/4,,,,,,,,,,,,
3190231287,.1/1,,,,,,,,,,,,
3607609,.3/4,,,,,,,,,,,,
3698612,.1/1,,,,,,,,,,,,
3721977,.1/1,,,,,,,,,,,,
3190175334,.12/12,,,,,,,,,,,,
3190242339,.1/1,,,,,,,,,,,,
3190242612,.1/1,,,,,,,,,,,,
3190242664,.1/1,,,,,,,,,,,,
3190242732,.1/1,,,,,,,,,,,,
3190243418,.1/1,,,,,,,,,,,,
3686369,.2/12,,,,,,,,,,,,
3686372,.1/1,,,,,,,,,,,,
3190187018,.4/4,,,,,,,,,,,,
3596432,.7/12,,,,,,,,,,,,
3596437,.7/12,,,,,,,,,,,,
3616040,.6/12,,,,,,,,,,,,
3671905,.3/12,,,,,,,,,,,,
3696346,.2/12,,,,,,,,,,,,
3190207672,.5/12,,,,,,,,,,,,
3190208189,.5/12,,,,,,,,,,,,
3190212051,.4/12,,,,,,,,,,,,
3190212063,.4/12,,,,,,,,,,,,
3190225050,.3/12,,,,,,,,,,,,
3190230718,.2/12,,,,,,,,,,,,
3190230765,.2/12,,,,,,,,,,,,
3190231240,.2/12,,,,,,,,,,,,
3190231241,.2/12,,,,,,,,,,,,
3190231243,.2/12,,,,,,,,,,,,
3190240729,.1/4,,,,,,,,,,,,
3190241327,.1/2,,,,,,,,,,,,
3190243208,.1/1,,,,,,,,,,,,
3190243582,.1/2,,,,,,,,,,,,
3190243713,.1/1,,,,,,,,,,,,
3190244073,.1/4,,,,,,,,,,,,
3190243908C,.1/12,,,,,,,,,,,,
3513024,.12/12,,,,,,,,,,,,
3522922,.1/1,119784,,,,,,,,,,,
3640486,.3/4,,,,,,,,,,,,
3681888,.1/1,,,,,,,,,,,,
3681894,.1/1,,,,,,,,,,,,
3681897,.1/1,,,,,,,,,,,,
3681913,.1/1,,,,,,,,,,,,
3693336,.1/1,,,,,,,,,,,,
3697055,.1/1,,,,,,,,,,,,
3697061,.1/1,,,,,,,,,,,,
3703489,.2/3,,,,,,,,,,,,
3190194807,.2/2,,,,,,,,,,,,
3190207825,.5/12,,,,,,,,,,,,
3190207914,.5/12,,,,,,,,,,,,
3190208295,.2/4,,,,,,,,,,,,
3190216219,.3/12,,,,,,,,,,,,
3190219843,.1/1,,,,,,,,,,,,
3190230081,.1/1,,,,,,,,,,,,
3190230086,.1/1,,,,,,,,,,,,
3190230087,.1/1,,,,,,,,,,,,
3579848,.7/12,,,,,,,,,,,,
3651567,.3/4,,,,,,,,,,,,
3661284,.3/12,,,,,,,,,,,,
3661288,.3/12,,,,,,,,,,,,
3703528,.2/12,,,,,,,,,,,,
3722475,.1/1,,,,,,,,,,,,
3722475,.1/1,122717 AL IN 10,,,,,,,,,,,
3190194285,.8/12,,,,,,,,,,,,
3190195286,.8/12,,,,,,,,,,,,
3190199155,.3/4,,,,,,,,,,,,
3190209406,.5/12,,,,,,,,,,,,
3598084,.7/12,,,,,,,,,,,,
3614557,.3/4,,,,,,,,,,,,
3634288,.3/4,,,,,,,,,,,,
3636507,.3/4,,,,,,,,,,,,
3640639,.3/4,,,,,,,,,,,,
3711431,.1/4,,,,,,,,,,,,
3724010,.1/4,,,,,,,,,,,,
3190198199,.3/4,,,,,,,,,,,,
3190198378,.7/12,,,,,,,,,,,,
3190203332,.6/12,,,,,,,,,,,,
